english_name,arabic_name 
Qalyubia - Al Qanatir Al Khayriyyah, القليوبية - القناطر الخيرية
Qalyubia - Banha, القليوبية - بنها
Qalyubia - Al Khankah, القليوبية - خانكة
Qalyubia - Shubra Al Khaymah, القليوبية - شبرا الخيمة
Qalyubia - Toukh, القليوبية - طوخ
Qalyubia - Qalyub, القليوبية - قليوب
Qalyubia - Qaha, القليوبية - قها
Qalyubia - Kafr Shokr, القليوبية - كفر شكر
Monufia - El-Bagour, المنوفية - الباجور
Monufia - El Sadat City, المنوفية - السادات
Monufia - Shibin Al Kawm, المنوفية - الشهداء
Monufia - Ashmun, المنوفية - أشمون
Monufia - Birket el Saba, المنوفية - بركة السبع
Monufia - Tala, المنوفية - تلا
Monufia - Minuf, المنوفية - منوف
Minya - Al Idwah, المنيا - العدوة
Minya - New Minya City, المنيا - المنيا الجديدة
Minya - Abu Qurqas, المنيا - أبو قرقاص
Minya - Bani Mazar, المنيا - بني مزار
Minya - Maghaghah, المنيا - مغاغة
Minya - Mallawi, المنيا - ملّوي
New Valley - Kharga, الوادي الجديد - الخارجة
New Valley - Farafra, الوادي الجديد - الفرافرة
New Valley - Baris, الوادي الجديد - باريس
New Valley - Balat, الوادي الجديد - بلاط
New Valley - Mut, الوادي الجديد - موط
Asyut - Abu Tij, أسيوط - أبو تيج
Asyut - Asyut Al Gadida City, أسيوط - أسيوط الجديدة
Asyut - Sidfa, أسيوط - صدفا
Asyut - Manfalut, أسيوط - منفلوط
Beni Suef - Al Fashn, بني سويف - الفشّن
Beni Suef - Biba, بني سويف - ببا
Beni Suef - New Beni Suef, بني سويف - بني سويف الجديدة
Beni Suef - Naser(Bush), بني سويف - ناصر
Port Said, بورسعيد
Port Said - Port Fouad, بورسعيد - بور فؤاد 
South Sinai - El Tor, جنوب سيناء - الطور
South Sinai - Dahab, جنوب سيناء - دهب
South Sinai - Ras Sedr, جنوب سيناء - رأس سدر
South Sinai - Sharm El-Sheikh, جنوب سيناء - شرم الشيخ
South Sinai - Taba, جنوب سيناء - طابا
South Sinai - Nuweibaa, جنوب سيناء - نويبع
Damietta, دمياط
Damietta - El-Rawda, دمياط - الروضة
Damietta - AZ Zarqa, دمياط - الزرقا
Damietta - As Sirw, دمياط - السرو
Damietta - Damietta El-Gadeeda City, دمياط - دمياط الجديدة
Damietta - Ras El-Bar, دمياط - رأس البر
Damietta - Izbat Al Burj, دمياط - عزبة البرج
Damietta - Kafr Saad, دمياط - كفر سعد
Sohag, سوهاج
Sohag - Al Balyana, سوهاج - البلينا
Sohag - Al Moinshaa, سوهاج - المنشأة
Sohag - Akhmem, سوهاج - أخميم
Sohag - New Sohag, سوهاج - سوهاج الجديدة
North Sinai - Al Hasna, شمال سيناء - الحسنة
North Sinai - Sheikh Zuweid, شمال سيناء - الشيخ زويد
North Sinai - Arish, شمال سيناء - العريش
North Sinai - Rafah, شمال سيناء - رفح
North Sinai - Nekhel, شمال سيناء - نخل
Qena, قنا
Qena - Dishna, قنا - دشنا
Qena - Qift, قنا - قفط
Qena - New Qena, قنا - قنا الجديدة
Qena - Qus, قنا - قوص
Qena - Nagaa Hammadi, قنا - نجع حمادي
Kafr El Sheikh, كفر الشيخ
Kafr El Sheikh - El-Hamoul, كفر الشيخ - الحامول
Kafr El Sheikh - El-Reyad, كفر الشيخ - الرياض
Kafr El Sheikh - Borollos Tower, كفر الشيخ - برج البرلس
Kafr El Sheikh - Baltim, كفر الشيخ - بلطيم
Kafr El Sheikh - Biyala, كفر الشيخ - بيلا
Kafr El Sheikh - Desouk, كفر الشيخ - دسوق
Kafr El Sheikh - Sidi Salem, كفر الشيخ - سيدي سالم
Kafr El Sheikh - Fuwwah, كفر الشيخ - فوّه
Kafr El Sheikh - Baltim, كفر الشيخ - مصيف بلطيم
Mersa Matruh - Marsa Matruh, مرسى مطروح
Mersa Matruh - Al Hammam , مرسي مطروح - الحمام
Mersa Matruh - El Salloum, مرسي مطروح - السلوم
Mersa Matruh - El Dabaa, مرسي مطروح - الضبعة
Mersa Matruh - El Alamein, مرسي مطروح - العلمين
Mersa Matruh - El-negila, مرسي مطروح - النجلية
Mersa Matruh - Sidi Barrany, مرسي مطروح - سيدي براني
Mersa Matruh - Siwa, مرسي مطروح - سيوة
