make , model, minimum_year
Renault,Symbol,2008
Renault,Zoe,2008
Saturn,Astra,2008
Scoda,Fabia,2008
Scoda,Octavia,2008
Scoda,Rabid,2008
Scoda,Roomster,2008
Scoda,Superb,2008
Scoda,Yeti,2008
Seat,Altea,2008
Seat,Arona,2008
Seat,Ateca,2008
Seat,Cordoba,2008
Seat,Ibiza,2008
Seat,Leon,2008
Seat,Toledo,2008
Soueast,V3,2015
Soueast,V5,2015
Speranza,A516,2008
Speranza,A620,2008
Speranza,Envy,2008
Speranza,M11,2008
Speranza,M12,2008
Speranza,Tiggo,2008
Ssangyong,Tivoli,2008
Ssangyong,XLV,2008
Ssngyong,Tivoli xlv,2015
Subaru,Forester,2008
Subaru,Impreza,2008
Subaru,Outback,2008
Subaru,XV Crosstrek,2008
Suzuki,Ciaz,2008
Suzuki,Ertiga,2008
Suzuki,SX4,2008
Suzuki,Swift  ,2008
Suzuki,Swift Dzire,2008
Suzuki,Vitara,2008
Toyota,Auris,2008
Toyota,Avanza,2008
Toyota,Avensis,2008
Toyota,Camry,2008
Toyota,Corolla,2008
Toyota,C_HR,2008
Toyota,Fortuner,2008
Toyota,Matrix,2008
Toyota,Prado,2008
Toyota,Rush,2008
Toyota,Yaris,2008
Toyota,Hiace,2008
Volkswagen,suran,2008
Volkswagen,tiguan,2008
Volkswagen,touran,2008
Volkswagen,CC,2008
Volkswagen,Cross Fox,2008
Volkswagen,Golf,2008
Volkswagen,Jetta,2008
Volkswagen,Parati,2008
Volkswagen,Passat,2008
Volkswagen,Polo,2008
Volvo,S40,2008
Volvo,S60,2008
Volvo,S80,2008
Volvo,V60,2008
Volvo,XC60,2008
Volvo,XC90,2008
Zotye,Damai X5,2008
Zotye,SR7,2008
Zotye,T600,2008
Zotye,Z300,2008
