arabic_name ,english_name
 المنيا - أبو قرقاص,Minya - Abu Qurqas
 المنيا - بني مزار,Minya - Bani Mazar
 المنيا - مغاغة,Minya - Maghaghah
 المنيا - ملّوي,Minya - Mallawi
 الوادي الجديد - الخارجة,New Valley - Kharga
 الوادي الجديد - الفرافرة,New Valley - Farafra
 الوادي الجديد - باريس,New Valley - Baris
 الوادي الجديد - بلاط,New Valley - Balat
 الوادي الجديد - موط,New Valley - Mut
 أسيوط - أبو تيج,Asyut - Abu Tij
 أسيوط - أسيوط الجديدة,Asyut - Asyut Al Gadida City
 أسيوط - صدفا,Asyut - Sidfa
 أسيوط - منفلوط,Asyut - Manfalut
 بني سويف - الفشّن,Beni Suef - Al Fashn
 بني سويف - ببا,Beni Suef - Biba
 بني سويف - بني سويف الجديدة,Beni Suef - New Beni Suef
 بني سويف - ناصر,Beni Suef - Naser(Bush)
 بورسعيد,Port Said
 بورسعيد - بور فؤاد ,Port Said - Port Fouad
 جنوب سيناء - الطور,South Sinai - El Tor
 جنوب سيناء - دهب,South Sinai - Dahab
 جنوب سيناء - رأس سدر,South Sinai - Ras Sedr
 جنوب سيناء - شرم الشيخ,South Sinai - Sharm El-Sheikh
 جنوب سيناء - طابا,South Sinai - Taba
 جنوب سيناء - نويبع,South Sinai - Nuweibaa
 دمياط,Damietta
 دمياط - الروضة,Damietta - El-Rawda
 دمياط - الزرقا,Damietta - AZ Zarqa
 دمياط - السرو,Damietta - As Sirw
 دمياط - دمياط الجديدة,Damietta - Damietta El-Gadeeda City
 دمياط - رأس البر,Damietta - Ras El-Bar
 دمياط - عزبة البرج,Damietta - Izbat Al Burj
 دمياط - كفر سعد,Damietta - Kafr Saad
 سوهاج,Sohag
 سوهاج - البلينا,Sohag - Al Balyana
 سوهاج - المنشأة,Sohag - Al Moinshaa
 سوهاج - أخميم,Sohag - Akhmem
 سوهاج - سوهاج الجديدة,Sohag - New Sohag
 شمال سيناء - الحسنة,North Sinai - Al Hasna
 شمال سيناء - الشيخ زويد,North Sinai - Sheikh Zuweid
 شمال سيناء - العريش,North Sinai - Arish
 شمال سيناء - رفح,North Sinai - Rafah
 شمال سيناء - نخل,North Sinai - Nekhel
 قنا,Qena
 قنا - دشنا,Qena - Dishna
 قنا - قفط,Qena - Qift
 قنا - قنا الجديدة,Qena - New Qena
 قنا - قوص,Qena - Qus
 قنا - نجع حمادي,Qena - Nagaa Hammadi
 كفر الشيخ,Kafr El Sheikh
 كفر الشيخ - الحامول,Kafr El Sheikh - El-Hamoul
 كفر الشيخ - الرياض,Kafr El Sheikh - El-Reyad
 كفر الشيخ - برج البرلس,Kafr El Sheikh - Borollos Tower
 كفر الشيخ - بلطيم,Kafr El Sheikh - Baltim
 كفر الشيخ - بيلا,Kafr El Sheikh - Biyala
 كفر الشيخ - دسوق,Kafr El Sheikh - Desouk
 كفر الشيخ - سيدي سالم,Kafr El Sheikh - Sidi Salem
 كفر الشيخ - فوّه,Kafr El Sheikh - Fuwwah
 كفر الشيخ - مصيف بلطيم,Kafr El Sheikh - Baltim
 مرسى مطروح,Mersa Matruh - Marsa Matruh
 مرسي مطروح - الحمام,Mersa Matruh - Al Hammam 
 مرسي مطروح - السلوم,Mersa Matruh - El Salloum
 مرسي مطروح - الضبعة,Mersa Matruh - El Dabaa
 مرسي مطروح - العلمين,Mersa Matruh - El Alamein
 مرسي مطروح - النجلية,Mersa Matruh - El-negila
 مرسي مطروح - سيدي براني,Mersa Matruh - Sidi Barrany
 مرسي مطروح - سيوة,Mersa Matruh - Siwa
